id,screen_name,retweet
1236021420125282309,naima,true
1236021407106191361,MrBeatnick,false
1236021385727705088,DelorisAskren,true
1236021339644989440,xavier_poire,true
1236021332644630528,CliveAnderson6,true
1236021328693600258,TaritaC,true
1236021324948148225,sauvignonelle,true
1236021312499392513,KJayInStereo,true
1236021234497990661,ikbtops,false
1236021224620404737,theTromboon,true
1236021205091717120,FerIsella,false
1236021203392794629,stevesilberman,false
1236021175005990912,the0galle,false
1236021158358798337,CharlyESimpson,true
1236021140503568385,derricklweston,false
1236021087118471172,Elberstein,true
1236021036489027584,moonjawn,false
1236021019908833280,nartsruka,true
1236020928594743296,gjlewisjr,true
1236020926128537600,EjazzsocMamsie,false
1236020924828262402,levistahl,false
1236020897082945536,Slaint5,true
1236020893438132224,NedRaggett,true
1236020850907844610,Jorgevcl,true
1236020830506639360,SeanTDolan,true
1236020828539629569,mrlukealexander,false
1236020823393267713,timenglishbooks,false
1236020811133317121,JayDeeWriting,true
1236020805429010433,Zallendain,false
1236020801553551361,Jeff__MacGregor,true
1236020752668901377,Pemayeshe,false
1236020749082611713,substitute,true
1236020714001465345,one_for_elena,true
1236020681911029760,dpatrick1a,true
1236020638160048128,ioiflower,false
1236020635014508544,GayeSowe,false
1236020615594688512,DerangedRadio,false
1236020608825266177,johnwarrender,true
1236020577992953856,MononcEcouerant,true
1236020551564414976,noz,false
1236020512020561921,crewislife,false
1236020509143269376,hawleyrose,true
1236020502667448322,zwideservesbass,true
1236020496833093632,MikeSmaleMusic,true
1236020457679335424,cykelly1718,true
1236020454609031171,iwaites60,true
1236020431439659010,Notsman,true
1236020421423763456,avantmusicnews,false
1236020417661370370,maca_mdelorza,true
1236020386652999682,LesBowen,true
1236020315286900736,textcultures,false
1236020299122032650,dianasongwriter,false
1236020279970861056,mickeyd1971,false
1236020254092013568,joub53,false
1236020210987122689,DJSpaceTerrapin,false
1236020184365834240,greggkrupa,false
1236020160852627456,bellewitch66,true
1236020139209846784,daguro,false
1236020136819281921,TheWrongtom,false
1236020133077741568,dollarherb,true
1236020110281674752,WXSJ973,false
1236020109002657792,Professor_Whom,true
1236020087485870085,LupineAssassin,true
1236020054220668928,briankrcb,true
1236020048331972609,jduchneskie,false
1236020046406828032,cristobalcuenca,true
1236020035375771648,bkdthenatural,true
1236019988768731136,lexboogie1,true
1236019938332225537,Tintalimon,true
1236019920900628481,ThePaulSRyan,false
1236019915649429504,QBryar,true
1236019841997443072,hsuarezdavis,false
1236019834636419072,EdHornby,true
1236019784212504577,jpinkertonesq,true
1236019763286966277,theshrillest,false
1236019753405251584,jsmooth07,true
1236019751652077569,jmcolberg,false
1236019745184505860,damoneulan,true
1236019735550189574,thenza2020,true
1236019729992691712,GeofftheJohnson,true
1236019712389246976,JCharlesLeonard,true
1236019696241176576,ashleyfhines,true
1236019648606294017,DWTish,true
1236019647142662144,Dart_Adams,true
1236019605593829384,gerosarecords,false
1236019599373676547,iconsilk713,true
1236019575071924224,edwaro,false
1236019569686265857,BugsGroove,true
1236019527176994816,MagicManArthur,false
1236019503982575617,HishamAidi,false
1236019475234852866,patrickgaspard,false
1236019458877071360,ilmessaggeroit,false
1236022222319489025,LLCFertco,true
1236022221447081984,DiChristine,true
1236022184885313536,davehumanfly,false
1236022172763566081,zachnfine,true
1236022127242985474,DiChristine,true
1236022116404752384,williamham,false
1236022107689160705,DiChristine,true
1236022104438591490,JAPollard1,true
1236022063388909569,ruckmanphoto,false
1236022055096770561,gage_heibeck,true
1236022049912614913,ryanvsgodzilla,true
1236022023387779077,kfunk937,true
1236021996615610368,earwormusic,false
1236021960892706816,lilsnowbabe,true
1236021960758431744,nljco,false
1236021906438000644,jazztimemusic,true
1236021895830679554,LarsKolltveit,true
1236021867586043904,hdya_aydh,false
1236021819729043461,EamonTheWheaten,false
1236021787722473472,_LEDNEK,true
1236021765773516800,lovePrince2016,true
1236021736627474433,CRMusicWriter,true
1236021722895265797,jacquesmaillot,true
1236021697108512768,vvvatican,true
1236021689370071042,NewtByrd,true
1236021689286381570,Ge0RgeC0TteN,true
1236021651676057600,MarciaGreenwood,true
1236021635817365504,RussellKagan,false
1236021552333930497,dvhunter,false
1236021544167628800,mattcusson,false
1236021536080818176,BigAlSams,false
1236021472918896640,SeptimeDogbeh,true
1236021442350891013,jorgechurba,true
1236019421862232064,PerfectCircle20,true
1236019407731789825,anAndyCoyle,true
1236019391789174787,kenixfan,true
1236019389620604928,ceceyy,true
1236019377880944640,nemoloris,false
1236019328975360000,fuzzytincan,true
1236019328396509184,musicperti,false
1236019277200642048,MichaelG398,false
1236019262134894592,OnceandfutureQF,true
1236019248599904258,mikeallemana,false
1236019240332820482,KMS__,false
1236019232539897858,dyddgu,true
1236019206350569481,ratsonly,false
1236019203485962240,AlbertMonye,true
1236019184284336128,ComfortablySmug,true
1236019176445300736,Chet_Kincaid,true
1236019165229506561,writerknowles,true
1236019146900541442,mecozzi_alfredo,false
1236019119276920833,mattkerns,false
1236019101581139968,justinhastings2,true
1236019007716823041,dominiqueleone,false
1236019000427130880,mauroessepunto,true
1236018969062096897,vincenzo_61,false
1236018935667068929,joshkodroff,false
1236018894072098816,krzysiek_em,true
1236018878788128768,MuseAndSiren,true
1236018877227773957,JenJamesBeauty,true
1236018790917443586,StivoUtrecht,true
1236018785573908480,sihaigh22,true
1236018772382748672,Erik_Montenegro,false
1236018761045598208,eb4prez,true
1236018691906473984,lulu82824,true
1236018665222361088,LiberalTalknPts,true
1236018641834999808,lacattivamadre,true
1236018565200961538,A5HEQ,false
1236018497504849920,visualbrands,false
1236018467431739392,Arthurblakee,false
1236018466521518081,ken_crichlow,true
1236018408367546369,PeterCiaccio1,false
1236018394442461184,MaazaMengiste,false
1236022597738876929,crimsonxkai,true
1236022587257499652,valsadie,true
1236022585021698048,Philip_Simon,true
1236022562293002242,LBryar,true
1236022541728321538,Engram_Records,true
1236022516382158851,DiChristine,true
1236022511378280453,JAPollard1,false
1236022503065243648,NateBenderama,false
1236022491732217856,ShezthatQueen,true
1236022450942427136,vvillbraham,true
1236022357640318976,julianbacharach,false
1236022299079237632,vvillbraham,true
1236022288216207361,ReneeCFattah,false
1236022284898492416,RevMagistratura,false
1236022929613295616,edsyder,true
1236022931664314368,Mallz,false
1236022940753424389,TPrice504,true
1236022966946803717,jeremycline1975,true
1236023074824175616,dpcazares,true
1236023076275580929,HolsKitchen_,true
1236023094936035328,davidcosey,true
1236023144785330176,GabePhoto,false
1236023145397710848,ChrisRoper,false
1236023153240899584,joegrizzly81,true
1236023100946382848,MapoTofuAddict,true
1236023104159260672,Olu_GH,true
1236023167539458055,JuliusJaas,true
1236023124933505024,mindissoftware,false
1236023020315123712,AtticaBluesRor,false
1236023028716367873,RiversAreDamp,false
1236023237345185792,robertloerzel,true
1236023238397792256,KingdomeTurf,true
1236023243519209472,DiChristine,true
1236023247721746432,kennyfresh,true
1236023254122246144,ninoseki,true
1236023324024754178,24TrueToneTenor,true
1236023336901238785,PPotanas,false
1236023193636388865,Jazzvitoria,false
1236023197977329664,ZonePatroller,true
1236023207393742848,PFAntique,true
1236023281960042496,fvguima,true
1236023289606217735,cspencef,false
1236023349265846272,drexlermusic,true
1236023356715134977,ArmaVirumque,true
1236023361563545600,ThisGui,true
1236023218152095744,DiChristine,true
1236023221662568449,Derrick_Weeden,true
1236023224590159874,kennyfresh,true
1236023303107760128,flea333,false
1236023313815781377,damien_couleurs,true
1236023436834676739,savemesomesalad,false
1236023589117267980,DonGone5,true
1236023594012020738,jimbobg2,true
1236023596079697920,RealsSeals,true
1236023598311264256,JasonNebergall,true
1236023600098009088,marameo6morto,true
1236023604359331840,vulgarweed,true
1236023550286409730,lonesome_ahle,true
1236023551561543681,hdinguyen11,false
1236023551293042689,NabateIslesSMTA,false
1236023552446550016,tcregan,false
1236023484343619584,wadesword,true
1236023488726495233,thewalkingfool,true
1236023491872190466,keyvoicesvo,false
1236023492237242369,CosimaElgin,true
1236023453976629248,FreshMindt,true
1236023458477355009,Noonecallsme,false
1236023610206085120,RC91681842,true
1236023611133132800,Ianminiero,false
1236023534343815168,sydfoxsar,false
1236023573594193920,bweglarczyk,false
1236023823276834816,IamDMVixen,true
1236023828796538880,ArseneMcLean,false
1236023834417016834,yerbomatofono,false
1236023684185444354,sonia_indira,true
1236023690296467456,amanimartin,false
1236023698446049280,AFarray,true
1236023651260149760,arnelieb,true
1236023651939438593,Green_Footballs,false
1236023652748947456,TurkanaDK,false
1236023740812705792,jazzcorner,false
1236023745577275392,NireeMusic,false
1236023761415127044,ShabbaDoom,true
1236023702577451009,Hilladairy,false
1236023714212466689,cmarcum888,true
1236023799847489537,regretblues,true
1236023783431036933,xaxat,true
1236023879065382913,Le_Varon1715,false
1236023880671727616,rosestfu,true
1236023886128414720,SLUGMag,false
1236023898308857859,Cornibal,true
1236023834693652480,HuMaN_HuE,true
1236023838657347584,doriangreys,true
1236023848417390592,vinceoutlaw,true
1236023857359671297,ChristyGianelli,true
1236024000637292546,ezralbntseliot,false
1236024007725584386,SorStephane,true
1236023914809241600,m_wegnerj,true
1236023919817232384,TunaOverlord,true
1236023923885699073,Notmldauber,true
1236024021730430983,BlowUpRadio,true
1236024027107307520,colbycosh,true
1236023965098708997,instinctnaturel,true
1236023965539160064,sago__j,true
1236023861768052737,Sardequin,false
1236023866482401282,djsoulsister,true
1236024075333615616,Treb_Editing,false
1236024092026908673,DarlaysJames,true
1236024225481150466,ErinPDX2,true
1236024229428105217,JeffMiers,false
1236024231198158850,IWPCHI,true
1236024259576651778,Tea_Party_Chris,true
1236024264618196993,UncleRamrod,false
1236024275246571520,ChummyPress,true
1236024279608647680,douglascodes,true
1236024338303737857,duskyliterati,true
1236024349821472768,Shizzzock,true
1236024351713091584,prezpowerz,true
1236024094606397440,prc4aam,true
1236024094862303233,NEMillar1,true
1236024140152205313,Current_Knewz,false
1236024150541709313,DarlaysJames,true
1236024324022243338,MathieuMallet,true
1236024165955702785,David_C_Jackson,false
1236024249321734147,MissDC7,false
1236024190081421312,pjmh10,false
1236024578012561415,ejstratt,true
1236024587428732934,bijancbayne,false
1236024477223473153,StaleShoes,true
1236024496131170304,gregmoran,true
1236024603006439424,BrajkovicGoran,true
1236024606433128448,pstrozza,false
1236024533745905665,AyreAcoustics,false
1236024536866402305,PitchBiteMusic,false
1236024540901314561,BrajkovicGoran,false
1236024392674463744,casey_anderson,true
1236024461398335488,trinkelbell,false
1236024406863986691,Tokkemon,false
1236024422533935107,christianrocca,false
1236024376924860416,henryhunryhank,false
1236026271638999040,chabeloviviomas,false
1236026273476104198,DopJon,true
1236026276655312897,CIMAGES,false
1236026286511927297,drroynorman,false
1236026287887704075,ilubsnoopy,true
1236026292627214336,michelmadar,true
1236025520472682496,DREAMBOATWORDS,true
1236025521680592897,regretblues,true
1236025526193709056,quegiovanne,true
1236025530480115715,INDIGOSKYY,false
1236025547223941124,odcinco,true
1236026686942175233,karla09810,true
1236026691761459201,JHPCr,true
1236026696735903750,LaNovellaSerena,true
1236026697759277057,Pepo_Marquez,false
1236026732899184646,AlexisLCairns,false
1236026740314521600,jvgraz,false
1236026743124905985,malawto,true
1236026843180011528,hl_lila,true
1236026653647622144,deadabovethelip,true
1236026663886090240,aaronsgarbage,false
1236026797688418304,mettle,false
1236026829670096897,ElcubanitoKC,false
1236030193984290817,atlanta1963,false
1236030195917885440,21stintheUSA,true
1236030202985267200,ChrisMenist,true
1236030212829253634,Ynot_12K,true
1236029972852207624,arieviebertie,true
1236029979525177344,ethanhein,false
1236029929072087040,EliLake,false
1236030042473447424,SolRoots,true
1236030116897140736,21stintheUSA,true
1236030215761129473,ReverendDrDash,true
1236030012261793800,cpage68,false
1236029961594519552,hach_a,false
1236029966598447105,twatsonian,false
1236030110668644352,michaeleaves,false
1236031811592941568,ThisMattYoung,false
1236031817695846401,tkwouter,true
1236031835227820032,taegiibear,false
1236031760598736896,susanadv17,true
1236031776201617416,NegCovfefePress,false
1236031786871713792,DrDourbine,true
1236031623868682241,Jett_Jaguar,false
1236031630747357185,StrangeVoidd,true
1236031679023718401,ellbbww,true
1236031687802437640,nickelJones,false
1236031703791132673,Mubbashir_R,false
1236031598669291521,lookbryand,false
1236031610379800576,taegiibear,false
1236031661109731328,MarcusBaylor,false
1236031717271425024,trailposse,false
1236032909879828480,needlespella,true
1236032912073428993,Passionweiss,false
1236032915609272321,safecureco,true
1236032933321994240,mrmattfair,false
1236032959561584640,punchdouble,true
1236032960060633088,litabny,false
1236032991870271491,Sonyaaaab,true
1236032934576107525,UnLearnPhD,true
1236032895237722112,AlWirtes,true
1236033036216655872,IndoorCreature,false
1236035529327759361,noracistwall,true
1236035677504114688,Jmasterteacher,true
1236035682344275973,marinoclara,true
1236035684596682757,MontePooleNBCS,false
1236035434217697280,JoshtheSandwich,false
1236035439418540038,rmathematicus,true
1236035442962808836,TenshiAkari12,true
1236035514496675840,TenshiAkari12,true
1236035517239693312,waynetronics,true
1236035613754826758,TenshiAkari12,true
1236035487304908801,darcyjamesargue,true
1236035632457076737,mikeharmanos,true
1236035718708973574,jerseyjazzman,true
1236035451477209088,archimusiques,false
1236035460863897601,trav_stone,false
1236038228639182855,PoliTeesBubble,false
1236038229603860480,TimothyS,false
1236038230308458496,shift_in2_turbo,true
1236038241104642049,MariamAbdallah,true
1236038204450639872,OctavioDiav,true
1236038161081356288,nanaslugdiva,true
1236038162369130496,BabsSheKing,true
1236038165992857601,albertodaily,true
1236038404153933824,judicordelia,true
1236038407639490563,orlandotambosi,false
1236038360185090048,ricldnbeersomm,false
1236038360378077184,ChrisJazzCafe2,false
1236038450798825473,flubby,false
